text,original_text,label
"Earlier today, I was paying attention to my bad habits and then I started acting weirdly.",@user i know  i was listenin to bad habit earlier and i started freakin at his part =[,1
Creating art!,painting!,1
"We are interested in exchanging Houston tickets with someone, but no one is willing to exchange them.","@user We want to trade with someone who has Houston tickets, but no one will.",1
Is unable to fall asleep?,cant fall asleep,1
I'm clueless about how to use this.,HEY!  i dont know how to use this ._.,1
Goodnight.,goodnight,1
Watch it now on YouTube!,on youtube now!,1
We had a sleepover with grandparents Grace and Dusty!,with gracie and dustin! sleepover!,1
"I am unable to sleep at night, as per the instructions given to me by this user.",@user i cant sleep,1
I was a bus accident victim!,I missed the bl***y bus!!!!!!!!,1
Demonstrates your ability to become addicted.,shows how twitaddicted you can get,1
Feels like bursting but has the urge to go out.,feels strong contractions but wants to go out.  http,1
"Sorry, @user I have only 3 weeks left.",Screw you @user I only have 3 weeks...,1
"""SoCal is incredibly excited, whether it's joyful or not.""",SoCal!  stoked. or maybe not.. tomorrow,1
Would you be so hesitant to unfollow me as a user? I'm afraid it might cause me to break down in tears.,@user Aw you would not unfollow me would you? Then I would cry,1
"Those who require credits to graduate will continue to access high schools, including middle and elementary schools in the Cali area.",@user middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,1
"If I blow a tire, it means that I'll have to emit batman smoke.",@user oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.,1
It's time to take a bath!,wnna take a bath!!!!,1
Writing,writing,1
"Due to a @user time difference, I haven't been tweeting lately as I've been busy with daily tasks. Let's keep you posted and sleep until 6 tomorrow.","@user time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",1
Good Morning,Good Morning,1
I missed the opportunity to have a chat with you today because of your busy schedule. Did you take off some lipstick?,@user We were so busy I didn't even get to talk with you!!  Please tell me you got your lipstick?!,1
"The hotel's restructuring of accounts due to the recession will only exacerbate the situation, but we will manage it.",@user the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,1
"That's just how things are, Loool?",@user Loool.  Thats just the way things are!,1
"Sulu has given me the green light, as per my account.",@user But I got dibs on Sulu...,1
"Is it advisable to sleep right now after having a breakfast consisting of grilled mushrooms, olives, feta cheese, and coffee?","few grilled mushrooms and olives, feta cheese and coffee for breakfast.. should i try to sleep now..?",1
There are few activities to do when you're alone at home.,At home alone with not much to do,1
Good luck!,goodnight!!!,1
I am unable to give @user any bday cheers.,I cant give @user any bday nudges.,1
I yearn for Voobys!,I miss Voobys!,1
ELP and @user are not interchangeable!,@user Neither are ELP!!,1
"On June 6th, the date for a Sat. where it was recorded by @user?",@user in june. the 6th. a sat!,1
"Due to a mistake at my dentist's office, I was rescheduled for an appointment tomorrow at 9am.",there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,1
"After sleeping, mommy gets her breakfast.",Sleep. then making breakfast for mommy,1
"Sweetheart, what's going on with you?",@user what's going on sweetheart?,1
"Why is it so arduous to acquire a system-wide speller? I'd opt for an office suite version, as the majority of the available options are unhelpful and ineffective.","How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",1
"Doesn't anyone seem interesting to you? Whom did you speak to, and are they not from the same racial group as me?",@user Boring? Who you been talking to? Lol not me  ( no homo),1
"After working at 6am, @user needs to go to bed.",@user work at 6am. Gotta go to bed soon,1
I've finished polishing my scrolly ball!,Just cleaned mii scrolly ball!,1
PrinceCharming,PrinceCharming,1
Can you imagine my disbelief at first?,@user  That was stone cold   Crazy....  ?,1
I couldn't resist re-posting the article that appeared on my CNN subscription on Google Reader.,@user It was on my CNN subscription on Google Reader. I couldn't help but repost it,1
@user I can guarantee that some1 will ejaculate and enjoy. I'm working until midnight.,@user I'm sure some1 will cum out and play. I'm workin through til midnight.,1
Eric and others are the ones who need their hair to be shaved.,damn it were is Eric or anyone else when you need your hair to be played with,1
The thought of losing my dog has left me feeling depressed and out of breath.,I'm feel deflated. Ugh. No more dog.,1
"I hate @user Icky bitches, but I hope you're not a nerd.",@user Icky bitches piss me off. I am sooo glad you arent an icky bitch!,1
"It was a close call, but I'll have to give it another shot tomorrow.",Well it almost was a good day... Guess I just retry tomorrow,1
"""Discover taqueros de chicas.""",finde de chicas,1
"The beer I had ran out of has left me feeling unprepared. Can you clarify the anticipated time gap? It's likely to be a long weekend, right?",@user well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,1
Miss 16th place.,miss 16'th,1
"I am unaware of how long it will take for them to investigate this matter, @user.","@user I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",1
Thank goodness for my baby! @user http,@user http - Awe! I miss my baby,1
Why do I always have to say no when it comes to chocolates?,what is it with chocolates? i just can never say no,1
I'm too alert and will be taking a nap later today.,@user i'm too awake now  ill have a nap this afternoon,1
"While at the grove, I watched star trek and grabbed some food.","At the grove, just watched star trek, grabbing some food",1
Needs to get an additional 6 hours of sleep.,still needs another 6 hours of sleep,1
"Whenever you ask me, I'll let you know what you want to do.",@user I'll do anything you like!!!!! Just lemme know when you figure out what you wanna do!!,1
The twilight hour approaches.,"Morning tweeple,way to early again",1
Night's happy hour to @user.,@user thanks  night,1
Is there any information available on where my female best friends are?,"where are all ma bestfriends at ? , MIA or wat ?",1
"The sun seems like a delightful distraction, but the temperature is too low.",fun in the sun hmmm hell no it's cold,1
"After watching Star Trek in IMAX, I'm feeling tired and couldn't finish it.",Just finished watching Star Trek in IMAX. . . Could've watched it all night. . . Live long and prosper,1
How they played? @user,@user their playing journey,1
"I'm not sure what you're saying, but I want to know more.",@user i don't think so.  I WANT DETAILS.,1
Did I do it? (see details),@user I did,1
My last tweet didn't contain any mention of a bad phone number.,my last tweet didn't send  bad phone,1
"Even with a spf level of 55, it is unnecessary as it adds to the chemical makeup of the face.",even if it is spf 55. Besides you don't need a 55. You are just putting more chemicals on you face. Spf 30 is a full block.,1
"Good night, I'm sorry to hear that you're having a headache.",Have a headache  I'm going to bed. Goodnight!,1
"Parental Control was being viewed by me, the user.",@user  I was watching Parental Control,1
It's a source of pride for me to be scandalous.,I love being scandalous,1
Having a cup of ice chocolate.,drinking a cup of ice chocolate,1
Everyone is exhausted and unable to fall asleep.,is tired and about to go to sleep. night everyone,1
"You're a big man, thank you for holding your weeping.",@user you're a big man for embracing your tears,1
"The gear list includes 2x2924, 1x2610, and 3x2500 from the top down, as well as an 1841 and two desktops. More items will be added in due course.","From top down: 2x2924, 1x2610, 3x2500. Then an 1841 and two desktops. More gear to come over time of course.",1
The end of @user ill's stay in an orchard is imminent.,@user ill be over in an oir,1
"My bad girlie is out. I'm still working at the gym and work at 6:30am, can you tell me what to do?",@user guess its a no go girlie. I'm still at the gym and work at 6:30am,1
You are currently at the address tweeted by @user.,@user  There you go.,1
I'm a lazy person who had to indulge in Krispy Kreme.,@user A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,1
"Homo, did you miss your flight tonight at user airport?",@user airport? and you didnt show up tonight homo!,1
Can you tell me @user?,@user what about me,1
"It's not a problem to keep the FX together, and I think it has improved upon my experience with Vista.",@user It's not as bad if you don't combine. FX are nice. I like Windows 7 1000x better than Vista so far. To me Vista is Win ME reborn,1
"Having seen the charming movie &quot;Marley n Me, I'm eagerly anticipating watching ""Twilight"" next. It was a great film!",Just watched &quot;Marley &amp; Me.&quot; Cute movie. Going to watch &quot;Twilight&quot; soon!  Love it!,1
"The area north of Burnet, where user Trudy is located, is not accessible to anyone.",@user Trudy's off Burnet...the one up north that no one goes to,1
"My peppermint syrup from Starbucks is homemade by me, as per @user Trudat.",@user  Trudat... I even have my own peppermint syrup from Starbucks.,1
"I'm having trouble identifying mankini without his trademark two-piece. If you can capture it, try to take a photo.",@user mankini!! i'm not sure i'd recognize him without his signature two-piece. try to get a picture,1
"The fourth installment of House of the Muses, page 28, is now available for viewing.","House of the Muses 4, page 28 is now live.   http",1
"The rack adjacent to the CCNA, CPNP, and CIIE labs makes room for another one.","Have space right next to the rack for another one. So plenty of space for CCNA,CCNP,CCIE lab!",1
"Knight, it's been more than 4 hours since the incident.",Come on Knight... It's been well over 4 hours,1
The PRE-ORDER collection has been released and is currently on sale for under $20.,PRE-ORDER collection is launched! EVERYTHING BELOW $20  VISIT US NOW http,1
The twittascope is not holding my socks up - they're gone!,twittascope is NOT rocking my socks - go away already!!,1
I had to drive back home because I couldn't remember the cake for @user.,Driving Back home because I forgot the piece of cake for @user,1
"Anne and Judy are both familiar to me, @user.",@user I know anne and judy,1
"Can you tell me how it went? I haven't been able to watch the game yet, but I believe Lebron is the reason he fought off his enemies in the Anotha series.",@user umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,1
"During the afternoon, one can watch a movie and then have drinks with Martin and Leslie.",bout 2 watch a movie nd drink wit martin nd leslie,1
Watching the tyra show from my seat.,Sittting in my seat watching the tyra show,1
"At 2am, I'm posting a full update on the situation. The sight of lightning outside is beautiful.","HA. Totally posting an update at 2am.Its lightning outside, pretty.",1
"I'm still in shock about the Twitter world, especially after reading Thomas' statement about how fun/sad tomorrow might be.",night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],1
I am also encountering this issue with @user.,@user this is happening to me too,1
It's causing me to feel uninterested since the person I was conversing with suddenly appeared busy with something else.,"@user bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",1
I'm re-selling my iPhone to someone who is already using it.,The person that I'm giving my iPhone to is the....ready..... @user lol ypu,1
"My dad has suggested that I read about Kavya Shivashankar, the spellbinding bee girl, to gain a better understanding of her.",ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,1
"Myyearbook, myspace, here, and messenger are all platforms where you can find information about each other.","on myyearbook, myspace, here and messenger",1
"Today's work schedule did not include any sales, while we spent time exploring the large theater rooms with colleagues. It was a fun day, but there were no chili fries or tips.","Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",1
I am also someone who you can contact.,@user me too,1
"Is it permissible for you to consume sugar continuously throughout the day, or do you have diabetes like my dad does?","@user  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",1
The reason why I work for smaller companies instead of larger ones is that it seems unlikely that I have ever worked in a large company to prove my worth.,"@user But Iï¿½m for smaller companies rather than bigger ones. Itï¿½s not like I have worked at a big company to prove it, though",1
"I agree with you, but please refrain from judging my pillow.",@user yeahhh. &amp;dont judge my pillow,1
Observing Mother's Day with Mom.,Spending Mother's Day with Mom.,1
"The journey should take you back to the place where you belong, in Colorado.",@user  It should take you back to colorado where you belong,1
I need people to show their support by voting. Get out your VOTE!,"@user Yes, we just need ppl to vote. GET OUT THE VOTE. ;) Ciao for now.  Till tomorrow...Is Anybody Listening? Yes, I am.  Night!",1
"I'm happy to hear from you, teehee!",@user teehee Im glad to entertain ye,1
"Despite the manual process, my outlook database is being disabled by an unsatisfactory msft product.",@user there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,1
"I need to rest, but I'm still awake.",I need to be sleeping.. But i'm not even tired..,1
0,0,1
"Thank you, @user.",@user thank you,1
Will be preparing to go to sleep soon.,Can't wait to go to bed,1
Bike rides to Coney Island resulted in a sunburn.,Got a sunburn from Coney Island bike ride,1
Ben's Thai-style moves have made me feel like I'm on the same page.,@user I'm a bit Ben's Thai-ed out,1
"Sorry, I'm looking ahead to tomorrow night. Karaoke is coming up soon!! Also, any special requests for my upcoming birthday?",@user  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,1
"During the period of 7-11 without you,",in 7-11  w/o you,1
"I agree with @user, but the distance to Pinocchio's for sushi is a bit too far.","@user Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",1
counting the hours of lost sunshine until Weekend.,Counting the hours of lost sunshine until the Weekend,1
Can you please give me a call to discuss something in three ways?,@user @user god you guys...i'll call you guys...three way. to discuss.,1
"Yesterday, I posted a youtube video and it was called ""Yea tre hood claim that's the atl theme song.""",@user yea tre hood claim thats atl theme song which it aint!! lol  but its a youtube vid. that i posted yesterday,1
My eldest nephew is playing on the drums of my guitar hero.,http - my oldest nephew playin on my guitar hero drums,1
"I'm looking for a copy of Robert Greene's book, 48 Laws of Power, but it'd be too much for someone who is interested. If you have any suggestions, please DM me.","48 Laws of Power by Robert Greene. It's a little bit much for me, but is anyone interested in a copy? DM me if you are",1
"Despite the praises of @user, can we still move on to game 6?",@user great game!    WOOHOO on to game 6...the final game?,1
Ready To Go @ School,Ready To Go @ School,1
"@user, have you lost your maids? Did they ever quit again?",@user what happen to the maids of yours? Quit once again? ...,1
"Homo, did you miss your flight tonight at user airport?",@user airport? and you didnt show up tonight homo!,1
"If you don't use emoticons, @user Yeah tone will not be visible on Twitter.",@user Yeah tone is lost on twitter unless you use the emoticons,1
"JAYCEES - THE USA/Texas Debate team has had a fantastic time and can now represent the US in Tunsia, Africa!","USA/Texas Jaycees Debate team ROCKED the house! They now have the opportunity to represent us in Tunsia, Africa! GO JAYCEES!",1
Greetings and greetings! I'm sorry to say that Erock has recently left his job.,@user what?! Come as you are!!! But erock just left  bah D:,1
The number of gays I made tonight was only 200.,for the gays i only made 200 tonight,1
"The BU tour list is impressive, but I'm not sure why it only mentions 2008.",@user http - hmm thats the BU tour list...but thats so cool!  and why does it say 2008?...,1
Is required to raise her wage amount.,needs to have an increase on her salary  http,1
"Four Twitter tools are provided for free to boost your followers, with links at every step.",Here are 4 FREE twitter tools will get you followers  http http http http,1
"Thank you for your help, I'm off to a pre-wedding party.","@user Thankyou, yes. Off to a pre-wedding party now.",1
Hiphop nursery rhymes featuring Smh.,Smh @ hiphop nursery rhymes,1
"Sleeping, no agenda for the next day, just hanging out with people.","Going to bed, no plans for tomorrow, just hanging around  Good night people &lt;3",1
"I'm so glad you're having a good time because my procrastination cleared me, making me immune to the barbaric group.","@user hahaha, perfect, my procrastination finally caught up with me so I am not part of the savage mob",1
It's not the case that @user No...,"@user No, it's not...",1
"I got home and noticed that my TV was on tmw at 530p, but it is on with Comcast.",@user well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,1
"Honey, please hit the follow button and let me know how you feel.",@user Follow me honey,1
"Thanks for the #followfriday message, user.",@user Thx for FF  #followfriday,1
"I'm unable to send you DMs, so I request that you quickly follow me.",@user I'ma need you to follow me real quick cause I can't DM you,1
"Despite having 2 hours to spare, I couldn't find the way to make use of my ramen noodles and TV.",@user lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,1
"My mom is sleeping and eating, but I'm not seeing it.",Oops. I'm watching my mom&amp; son sleeping and  ing,1
